mes;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
01/01/2019;407;418;460;500;543;793;783;610;712;713;852;809
01/02/2019;373;355;442;445;530;587;651;559;560;567;652;683
01/03/2019;348;407;541;553;600;678;653;504;499;554;698;635
01/04/2019;274;297;413;411;385;437;611;387;447;440;529;587
01/05/2019;189;155;185;178;226;192;337;251;252;284;368;229
01/06/2019;149;107;143;89;107;140;132;135;144;187;210;137
01/07/2019;90;104;69;126;59;153;142;86;144;169;184;144
01/08/2019;110;137;124;107;145;159;179;224;137;223;339;203
01/09/2019;99;128;223;187;227;277;244;227;265;315;262;262
01/10/2019;219;263;312;317;295;319;375;345;350;399;392;398
01/11/2019;234;279;337;426;520;356;430;398;487;427;524;451
01/12/2019;269;375;468;407;606;481;505;568;521;642;745;629
