data;casos
01/01/2007;501
01/02/2007;459
01/03/2007;563
01/04/2007;431
01/05/2007;205
01/06/2007;146
01/07/2007;76
01/08/2007;120
01/09/2007;221
01/10/2007;319
01/11/2007;326
01/12/2007;458
01/01/2008;529
01/02/2008;447
01/03/2008;548
01/04/2008;435
01/05/2008;189
01/06/2008;103
01/07/2008;139
01/08/2008;131
01/09/2008;201
01/10/2008;351
01/11/2008;432
01/12/2008;480
01/01/2009;534
01/02/2009;536
01/03/2009;632
01/04/2009;391
01/05/2009;234
01/06/2009;114
01/07/2009;62
01/08/2009;148
01/09/2009;219
01/10/2009;285
01/11/2009;516
01/12/2009;617
01/01/2010;749
01/02/2010;586
01/03/2010;679
01/04/2010;457
01/05/2010;207
01/06/2010;146
01/07/2010;161
01/08/2010;154
01/09/2010;274
01/10/2010;302
01/11/2010;365
01/12/2010;466
01/01/2011;757
01/02/2011;665
01/03/2011;646
01/04/2011;623
01/05/2011;364
01/06/2011;129
01/07/2011;138
01/08/2011;204
01/09/2011;238
01/10/2011;385
01/11/2011;401
01/12/2011;508
01/01/2012;619
01/02/2012;557
01/03/2012;523
01/04/2012;399
01/05/2012;248
01/06/2012;143
01/07/2012;87
01/08/2012;215
01/09/2012;222
01/10/2012;334
01/11/2012;404
01/12/2012;564
01/01/2013;721
01/02/2013;571
01/03/2013;482
01/04/2013;466
01/05/2013;262
01/06/2013;161
01/07/2013;145
01/08/2013;131
01/09/2013;252
01/10/2013;360
01/11/2013;473
01/12/2013;540
01/01/2014;692
01/02/2014;572
01/03/2014;576
01/04/2014;446
01/05/2014;286
01/06/2014;191
01/07/2014;166
01/08/2014;217
01/09/2014;312
01/10/2014;409
01/11/2014;411
01/12/2014;633
01/01/2015;842
01/02/2015;640
01/03/2015;729
01/04/2015;535
01/05/2015;382
01/06/2015;235
01/07/2015;179
01/08/2015;339
01/09/2015;272
01/10/2015;372
01/11/2015;510
01/12/2015;758
01/01/2016;781
01/02/2016;692
01/03/2016;652
01/04/2016;607
01/05/2016;237
01/06/2016;150
01/07/2016;151
01/08/2016;200
01/09/2016;259
01/10/2016;383
01/11/2016;459
01/12/2016;684
01/01/2017;909
01/02/2017;757
01/03/2017;804
01/04/2017;649
01/05/2017;542
01/06/2017;330
01/07/2017;270
01/08/2017;342
01/09/2017;514
01/10/2017;607
01/11/2017;638
01/12/2017;814
01/01/2018;1060
01/02/2018;683
01/03/2018;740
01/04/2018;713
01/05/2018;405
01/06/2018;221
01/07/2018;196
01/08/2018;177
01/09/2018;403
01/10/2018;588
01/11/2018;710
01/12/2018;736
